Epoch,Accuracy,Actualyt Accuracy,,Epoch,Loss,
135,11.06,88.94,,135,41.41278,0.04141278
136,11.08,88.92,,136,41.50238,0.04150238
137,10.97,89.03,,137,41.32861,0.04132861
138,10.98,89.02,,138,41.43869,0.04143869
139,11.03,88.97,,139,41.39827,0.04139827
140,11.04,88.96,,140,41.27657,0.04127657
141,11.07,88.93,,141,41.35365,0.04135365
142,11.01,88.99,,142,41.43171,0.04143171
143,11.12,88.88,,143,41.25617,0.04125617
144,11.02,88.98,,144,41.40905,0.04140905
145,11.05,88.95,,145,41.27984,0.04127984
146,11.13,88.87,,146,41.40147,0.04140147
147,11.04,88.96,,147,41.355,0.041355
148,11.1,88.9,,148,41.30171,0.04130171
149,11.03,88.97,,149,41.32544,0.04132544
150,11.02,88.98,,150,41.3166,0.0413166
151,11.04,88.96,,151,41.37157,0.04137157
152,11.11,88.89,,152,41.38812,0.04138812
153,10.99,89.01,,153,41.26209,0.04126209
154,11.01,88.99,,154,41.42908,0.04142908
155,10.98,89.02,,155,41.42514,0.04142514
156,11.11,88.89,,156,41.40422,0.04140422
157,10.97,89.03,,157,41.36241,0.04136241
158,11.03,88.97,,158,41.37142,0.04137142
159,11,89,,159,41.43051,0.04143051
160,11,89,,160,41.46248,0.04146248
161,11.11,88.89,,161,41.38175,0.04138175
162,11.02,88.98,,162,41.41898,0.04141898
163,10.98,89.02,,163,41.33665,0.04133665
164,11.11,88.89,,164,41.29912,0.04129912
165,11.13,88.87,,165,41.39921,0.04139921
166,11.05,88.95,,166,41.29207,0.04129207
167,11.06,88.94,,167,41.45672,0.04145672
168,11.03,88.97,,168,41.44227,0.04144227
169,11.09,88.91,,169,41.34324,0.04134324
170,11.1,88.9,,170,41.32128,0.04132128
171,11,89,,171,41.44521,0.04144521
172,11.07,88.93,,172,41.39132,0.04139132
173,11.01,88.99,,173,41.47534,0.04147534
174,11.03,88.97,,174,41.4854,0.0414854
175,11.04,88.96,,175,41.2701,0.0412701
176,11.02,88.98,,176,41.41871,0.04141871
177,11.09,88.91,,177,41.40568,0.04140568
178,11.09,88.91,,178,41.32762,0.04132762
179,11.05,88.95,,179,41.42388,0.04142388
180,11.06,88.94,,180,41.34831,0.04134831
181,11.16,88.84,,181,41.3924,0.0413924
182,11.07,88.93,,182,41.35716,0.04135716
183,11.11,88.89,,183,41.31764,0.04131764
184,11.11,88.89,,184,41.40065,0.04140065
185,11.02,88.98,,185,41.37903,0.04137903
186,11.12,88.88,,186,41.42262,0.04142262
187,11.04,88.96,,187,41.30676,0.04130676
188,11.08,88.92,,188,41.37845,0.04137845
189,11.03,88.97,,189,41.3202,0.0413202
190,11.11,88.89,,190,41.28253,0.04128253
191,11.06,88.94,,191,41.3924,0.0413924
192,11.06,88.94,,192,41.35716,0.04135716
193,10.98,89.02,,193,41.31764,0.04131764
194,11.03,88.97,,194,41.40065,0.04140065
195,11.14,88.86,,195,41.37903,0.04137903
196,11.16,88.84,,196,41.42262,0.04142262
197,11.03,88.97,,197,41.30676,0.04130676
198,11.03,88.97,,198,41.37845,0.04137845
199,10.98,89.02,,199,41.3202,0.0413202
200,11,89,,200,41.28253,0.04128253
